,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
39234,2023,Volkswagen,Atlas Cross Sport 4motion,Small Sport Utility Vehicle 4WD,6.0,3.6,0,0,0,0,0,0,All-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39235,2023,Volkswagen,Atlas Cross Sport 4motion,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,22,18.18,17,23.53,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39236,2023,Volkswagen,Tiguan 4motion,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39237,2023,Volkswagen,Tiguan R-Line 4motion,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,24,16.67,19,21.05,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39238,2023,Audi,RS Q8,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,16,25.0,12,33.33,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39239,2023,Audi,Q7,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,21,19.05,16,25.0,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39240,2023,Porsche,Cayenne,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,All-Wheel Drive,19,21.05,15,26.67,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39241,2023,Porsche,Cayenne S,Standard Sport Utility Vehicle 4WD,6.0,2.9,0,0,0,0,0,0,All-Wheel Drive,18,22.22,14,28.57,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39242,2023,Porsche,Cayenne S Coupe,Standard Sport Utility Vehicle 4WD,6.0,2.9,0,0,0,0,0,0,All-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39244,2023,Porsche,Cayenne Turbo,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39245,2023,Porsche,Cayenne Turbo GT,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39246,2023,Porsche,Cayenne Turbo Coupe,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39247,2023,Porsche,Cayenne GTS,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39248,2023,Porsche,Cayenne GTS Coupe,Standard Sport Utility Vehicle 4WD,8.0,4.0,0,0,0,0,0,0,All-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39251,2023,Mercedes-Benz,CLA250 4matic,Compact Cars,4.0,2.0,0,0,89,12,0,0,All-Wheel Drive,27,14.81,21,19.05,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39252,2023,Mercedes-Benz,CLA250,Compact Cars,4.0,2.0,0,0,89,12,0,0,Front-Wheel Drive,29,13.79,23,17.39,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39253,2023,Toyota,Camry,Midsize Cars,6.0,3.5,0,0,100,14,0,0,Front-Wheel Drive,26,15.38,20,20.0,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39255,2023,Toyota,Camry TRD,Midsize Cars,6.0,3.5,0,0,100,14,0,0,Front-Wheel Drive,25,16.0,20,20.0,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39256,2023,Toyota,Camry XSE,Midsize Cars,6.0,3.5,0,0,100,14,0,0,Front-Wheel Drive,26,15.38,20,20.0,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39257,2023,Toyota,Camry AWD LE/SE,Midsize Cars,4.0,2.5,0,0,100,15,0,0,All-Wheel Drive,29,13.79,23,17.39,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39258,2023,Toyota,Camry AWD XLE/XSE,Midsize Cars,4.0,2.5,0,0,100,15,0,0,All-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39259,2023,Toyota,Camry LE/SE,Midsize Cars,4.0,2.5,0,0,100,14,0,0,Front-Wheel Drive,32,12.5,25,16.0,39,10.26,35,11.43,31,12.9,27,14.81,23,19
39260,2023,Toyota,Camry XLE/XSE,Midsize Cars,4.0,2.5,0,0,100,14,0,0,Front-Wheel Drive,31,12.9,24,16.67,38,10.53,34,11.76,30,13.33,26,15.38,22,18
39261,2023,Toyota,Camry Hybrid LE,Midsize Cars,4.0,2.5,0,0,100,15,0,0,Front-Wheel Drive,52,7.69,41,9.76,53,7.55,47,8.51,41,9.76,36,11.11,31,26
39262,2023,Toyota,Camry Hybrid SE/XLE/XSE,Midsize Cars,4.0,2.5,0,0,100,15,0,0,Front-Wheel Drive,46,8.7,36,11.11,47,8.51,42,9.52,37,10.81,32,12.5,27,22
39263,2023,Porsche,Panamera,Large Cars,6.0,2.9,0,0,0,0,98,27,Rear-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39264,2023,Porsche,Panamera 4S,Large Cars,6.0,2.9,0,0,0,0,98,27,All-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39266,2023,Porsche,Panamera 4S Executive,Large Cars,6.0,2.9,0,0,0,0,101,27,All-Wheel Drive,19,21.05,15,26.67,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39267,2023,Porsche,Panamera 4S ST,Large Cars,6.0,2.9,0,0,99,25,0,0,All-Wheel Drive,19,21.05,15,26.67,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39268,2023,Porsche,Panamera 4,Large Cars,6.0,2.9,0,0,0,0,98,27,All-Wheel Drive,20,20.0,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39269,2023,Porsche,Panamera 4 Executive,Large Cars,6.0,2.9,0,0,0,0,101,27,All-Wheel Drive,19,21.05,15,26.67,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39270,2023,Porsche,Panamera 4 ST,Large Cars,6.0,2.9,0,0,99,25,0,0,All-Wheel Drive,20,20.0,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39271,2023,Porsche,Panamera Turbo S,Large Cars,8.0,4.0,0,0,0,0,98,27,All-Wheel Drive,17,23.53,13,30.77,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39272,2023,Porsche,Panamera GTS,Large Cars,8.0,4.0,0,0,0,0,98,27,All-Wheel Drive,17,23.53,13,30.77,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39273,2023,Porsche,Panamera GTS ST,Large Cars,8.0,4.0,0,0,99,25,0,0,All-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39274,2023,Nissan,Titan 2WD,Standard Pickup Trucks 2WD,8.0,5.6,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39275,2023,Honda,Ridgeline AWD,Standard Pickup Trucks 4WD,6.0,3.5,0,0,0,0,0,0,All-Wheel Drive,21,19.05,16,25.0,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39277,2023,Nissan,Titan 4WD,Standard Pickup Trucks 4WD,8.0,5.6,0,0,0,0,0,0,Part-time 4-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39278,2023,Nissan,Titan 4WD PRO4X,Standard Pickup Trucks 4WD,8.0,5.6,0,0,0,0,0,0,Part-time 4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39279,2023,Mercedes-Benz,GLA250,Special Purpose Vehicle 2WD,4.0,2.0,0,0,0,0,0,0,Front-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39280,2023,Mercedes-Benz,GLB250,Special Purpose Vehicle 2WD,4.0,2.0,0,0,0,0,0,0,Front-Wheel Drive,27,14.81,21,19.05,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39281,2023,Mercedes-Benz,GLA250 4matic,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,26,15.38,20,20.0,32,12.5,28,14.29,24,16.67,21,19.05,18,15
39282,2023,Toyota,Sequoia 2WD,Standard Sport Utility Vehicle 2WD,6.0,3.4,0,0,0,0,0,0,Rear-Wheel Drive,22,18.18,17,23.53,24,16.67,21,19.05,18,22.22,15,26.67,13,11
39283,2023,Chevrolet,Tahoe 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39284,2023,Chevrolet,Tahoe 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39285,2023,Toyota,Sequoia 4WD,Standard Sport Utility Vehicle 4WD,6.0,3.4,0,0,0,0,0,0,Part-time 4-Wheel Drive,20,20.0,16,25.0,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39286,2023,Cadillac,LYRIQ,Small Sport Utility Vehicle 2WD,,,0,0,105,24,0,0,Rear-Wheel Drive,89,4.49,71,5.63,82,4.88,73,5.48,64,6.25,56,7.14,48,40
39288,2023,Chevrolet,Bolt EUV,Small Station Wagons,,,0,0,97,16,0,0,Front-Wheel Drive,115,3.48,92,4.35,104,3.85,93,4.3,82,4.88,72,5.56,62,52
39289,2023,Chevrolet,Bolt EV,Small Station Wagons,,,0,0,94,17,0,0,Front-Wheel Drive,120,3.33,96,4.17,109,3.67,98,4.08,87,4.6,76,5.26,66,56
39290,2023,Polestar,2 BST edition,Midsize Cars,,,0,0,0,0,89,26,All-Wheel Drive,95,4.21,76,5.26,91,4.4,81,4.94,72,5.56,63,6.35,54,45
39291,2023,Polestar,2 Dual Motor,Midsize Cars,,,0,0,0,0,89,26,All-Wheel Drive,100,4.0,80,5.0,96,4.17,86,4.65,76,5.26,66,6.06,57,48
39292,2023,Polestar,2 Dual Motor Perf Pack,Midsize Cars,,,0,0,0,0,89,26,All-Wheel Drive,100,4.0,80,5.0,96,4.17,86,4.65,76,5.26,66,6.06,57,48
39293,2023,Polestar,2 Single Motor,Midsize Cars,,,0,0,0,0,89,26,Front-Wheel Drive,107,3.74,85,4.71,100,4.0,90,4.44,80,5.0,70,5.71,60,51
39294,2023,Toyota,bZ4X,Small Sport Utility Vehicle 2WD,,,0,0,0,0,0,0,Front-Wheel Drive,119,3.36,95,4.21,107,3.74,96,4.17,85,4.71,74,5.41,64,54
39295,2023,Toyota,bZ4X LIMITED,Small Sport Utility Vehicle 2WD,,,0,0,0,0,0,0,Front-Wheel Drive,114,3.51,91,4.4,103,3.88,92,4.35,81,4.94,71,5.63,61,51
39296,2023,Toyota,bZ4X AWD,Small Sport Utility Vehicle 4WD,,,0,0,0,0,0,0,All-Wheel Drive,104,3.85,83,4.82,94,4.26,84,4.76,74,5.41,65,6.15,56,47
39297,2023,Toyota,bZ4X LIMITED AWD,Small Sport Utility Vehicle 4WD,,,0,0,0,0,0,0,All-Wheel Drive,102,3.92,81,4.94,92,4.35,82,4.88,72,5.56,63,6.35,54,45
39299,2023,Volvo,C40 Recharge twin,Small Sport Utility Vehicle 4WD,,,0,0,0,0,0,0,All-Wheel Drive,87,4.6,69,5.8,80,5.0,72,5.56,64,6.25,56,7.14,48,40
39300,2023,Volvo,XC40 Recharge twin,Small Sport Utility Vehicle 4WD,,,0,0,0,0,0,0,All-Wheel Drive,85,4.71,68,5.88,79,5.06,71,5.63,63,6.35,55,7.27,47,39
39303,2023,BMW,M235i xDrive Gran Coupe,Compact Cars,4.0,2.0,0,0,91,12,0,0,All-Wheel Drive,27,14.81,21,19.05,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39304,2023,BMW,330i Sedan,Compact Cars,4.0,2.0,0,0,94,13,0,0,Rear-Wheel Drive,29,13.79,23,17.39,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39305,2023,Nissan,Kicks,Midsize Cars,4.0,1.6,0,0,0,0,93,25,Front-Wheel Drive,33,12.12,26,15.38,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39307,2023,Nissan,Murano FWD,Midsize Station Wagons,6.0,3.5,0,0,108,28,0,0,Front-Wheel Drive,23,17.39,18,22.22,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39308,2023,Nissan,Murano AWD,Midsize Station Wagons,6.0,3.5,0,0,108,28,0,0,All-Wheel Drive,23,17.39,18,22.22,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39310,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39311,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39312,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,6.0,3.0,0,0,0,0,0,0,Rear-Wheel Drive,26,15.38,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39313,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39314,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39315,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,4.0,2.7,0,0,0,0,0,0,Rear-Wheel Drive,20,20.0,16,25.0,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39316,2023,Chevrolet,Silverado 2WD,Standard Pickup Trucks 2WD,4.0,2.7,0,0,0,0,0,0,Rear-Wheel Drive,20,20.0,16,25.0,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39317,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39318,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39319,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,6.0,3.0,0,0,0,0,0,0,Rear-Wheel Drive,26,15.38,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39321,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39322,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39323,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,4.0,2.7,0,0,0,0,0,0,Rear-Wheel Drive,20,20.0,16,25.0,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39324,2023,GMC,Sierra 2WD,Standard Pickup Trucks 2WD,4.0,2.7,0,0,0,0,0,0,Rear-Wheel Drive,20,20.0,16,25.0,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39325,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39326,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39327,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39328,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39329,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39330,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39332,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39333,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39334,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39335,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39336,2023,Chevrolet,Silverado 4WD ZR2,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,15,26.67,12,33.33,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39337,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39338,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39339,2023,Chevrolet,Silverado Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,22,18.18,17,23.53,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39340,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39341,2023,Chevrolet,Silverado 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39344,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39345,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39346,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39347,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,15,26.67,12,33.33,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39348,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39349,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39350,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39351,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39352,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39353,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39355,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39356,2023,GMC,Sierra 4WD AT4X,Standard Pickup Trucks 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,15,26.67,12,33.33,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39357,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39358,2023,GMC,Sierra Mud Terrain Tires 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,22,18.18,17,23.53,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39359,2023,GMC,Sierra 4WD,Standard Pickup Trucks 4WD,4.0,2.7,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39360,2023,Jeep,Gladiator EcoDiesel 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39361,2023,Jeep,Gladiator Rubic EcoDiesel 4WD,Standard Pickup Trucks 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39362,2023,Jeep,Gladiator 4WD,Standard Pickup Trucks 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39363,2023,Jeep,Gladiator 4WD,Standard Pickup Trucks 4WD,6.0,3.6,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39364,2023,Chevrolet,Silverado Cab Chassis 4WD,Special Purpose Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39366,2023,Chevrolet,Silverado Cab Chassis 2WD,Special Purpose Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39367,2023,GMC,Sierra Cab Chassis 4WD,Special Purpose Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,17,23.53,15,26.67,13,30.77,11,36.36,9,7
39368,2023,GMC,Sierra Cab Chassis 2WD,Special Purpose Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39369,2023,Chevrolet,Equinox FWD,Small Sport Utility Vehicle 2WD,4.0,1.5,0,0,104,30,0,0,Front-Wheel Drive,28,14.29,22,18.18,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39370,2023,GMC,Terrain FWD,Small Sport Utility Vehicle 2WD,4.0,1.5,0,0,0,0,0,0,Front-Wheel Drive,26,15.38,20,20.0,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39371,2023,Nissan,Rogue FWD,Small Sport Utility Vehicle 2WD,3.0,1.5,0,0,0,0,0,0,Front-Wheel Drive,33,12.12,26,15.38,37,10.81,33,12.12,29,13.79,25,16.0,21,17
39372,2023,Nissan,Rogue FWD SL/Platinum,Small Sport Utility Vehicle 2WD,3.0,1.5,0,0,0,0,0,0,Front-Wheel Drive,32,12.5,25,16.0,36,11.11,32,12.5,28,14.29,24,16.67,20,17
39373,2023,Chevrolet,Equinox AWD,Small Sport Utility Vehicle 4WD,4.0,1.5,0,0,104,30,0,0,All-Wheel Drive,26,15.38,20,20.0,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39374,2023,GMC,Terrain AWD,Small Sport Utility Vehicle 4WD,4.0,1.5,0,0,104,30,0,0,All-Wheel Drive,26,15.38,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39375,2023,Mazda,CX-5 4WD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,4-Wheel Drive,26,15.38,20,20.0,30,13.33,27,14.81,24,16.67,21,19.05,18,15
39377,2023,Mazda,CX-5 4WD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,4-Wheel Drive,24,16.67,19,21.05,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39378,2023,Nissan,Rogue AWD,Small Sport Utility Vehicle 4WD,3.0,1.5,0,0,0,0,0,0,All-Wheel Drive,31,12.9,24,16.67,35,11.43,31,12.9,27,14.81,23,17.39,20,17
39379,2023,Nissan,Rogue AWD SL/Platinum,Small Sport Utility Vehicle 4WD,3.0,1.5,0,0,0,0,0,0,All-Wheel Drive,31,12.9,24,16.67,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39380,2023,Nissan,Pathfinder 4WD Rock Creek,Small Sport Utility Vehicle 4WD,6.0,3.5,0,0,0,0,0,0,4-Wheel Drive,21,19.05,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39381,2023,Porsche,Macan,Small Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,21,19.05,16,25.0,25,16.0,22,18.18,19,21.05,16,25.0,13,11
