,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
39107,2023,Jeep,Grand Cherokee L 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.7,0,0,0,0,0,0,All-Wheel Drive,17,23.53,13,30.77,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39108,2023,Volvo,XC90 B5 AWD,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
39110,2023,Volvo,XC90 B6 AWD,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,All-Wheel Drive,22,18.18,17,23.53,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39123,2023,BMW,430i Coupe,Subcompact Cars,4.0,2.0,86,12,0,0,0,0,Rear-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39124,2023,BMW,430i Convertible,Subcompact Cars,4.0,2.0,84,9,0,0,0,0,Rear-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39125,2023,BMW,M340i Sedan,Compact Cars,6.0,3.0,0,0,94,13,0,0,Rear-Wheel Drive,26,15.38,20,20.0,31,12.9,27,14.81,24,16.67,21,19.05,18,15
39126,2023,BMW,430i Gran Coupe,Compact Cars,4.0,2.0,0,0,91,12,0,0,Rear-Wheel Drive,28,14.29,22,18.18,34,11.76,30,13.33,26,15.38,22,18.18,19,16
39127,2023,Lexus,UX 250h,Compact Cars,4.0,2.0,0,0,0,0,90,17,Front-Wheel Drive,42,9.52,33,12.12,41,9.76,36,11.11,32,12.5,28,14.29,24,20
39128,2023,Lexus,UX 250h AWD,Compact Cars,4.0,2.0,0,0,0,0,90,17,All-Wheel Drive,39,10.26,31,12.9,38,10.53,34,11.76,30,13.33,26,15.38,22,18
39129,2023,Audi,RS 7,Midsize Cars,8.0,4.0,0,0,0,0,95,25,All-Wheel Drive,17,23.53,13,30.77,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39130,2023,Hyundai,Venue,Midsize Cars,4.0,1.6,0,0,92,19,0,0,Front-Wheel Drive,31,12.9,24,16.67,33,12.12,29,13.79,25,16.0,22,18.18,19,16
39131,2023,Infiniti,Q50,Midsize Cars,6.0,3.0,0,0,100,14,0,0,Rear-Wheel Drive,23,17.39,18,22.22,29,13.79,26,15.38,23,17.39,20,20.0,17,14
39133,2023,Infiniti,Q50 AWD,Midsize Cars,6.0,3.0,0,0,100,14,0,0,All-Wheel Drive,22,18.18,17,23.53,27,14.81,24,16.67,21,19.05,18,22.22,15,12
39134,2023,Infiniti,Q50 Red Sport,Midsize Cars,6.0,3.0,0,0,100,14,0,0,Rear-Wheel Drive,22,18.18,17,23.53,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39135,2023,Infiniti,Q50 Red Sport  AWD,Midsize Cars,6.0,3.0,0,0,100,14,0,0,All-Wheel Drive,22,18.18,17,23.53,26,15.38,23,17.39,20,20.0,17,23.53,14,11
39136,2023,Audi,A8 L,Large Cars,6.0,3.0,0,0,111,13,0,0,All-Wheel Drive,22,18.18,17,23.53,28,14.29,25,16.0,22,18.18,19,21.05,16,13
